neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
203,((((NOT oth:overlap:overlap50) AND (hyp:tok:in OR hyp:tok:on)) OR pre:tok:water) OR hyp:tok:sleeping),((((NOT oth) AND (hyp OR hyp)) OR pre) OR hyp),((((NOT oth:overlap) AND (hyp:tok OR hyp:tok)) OR pre:tok) OR hyp:tok),0.16778761061946904,6,-0.0606484,-0.0085008275,0.058740616
271,pre:tok:in,pre,pre:tok,0.0,1,-0.07063037,-0.044692654,-0.007765836
272,pre:tok:in,pre,pre:tok,0.0,1,0.008859993,-0.032383133,0.024345938
273,pre:tok:in,pre,pre:tok,0.0,1,0.0412596,0.008739188,-0.021415036
274,pre:tok:in,pre,pre:tok,0.0,1,-0.010766891,-0.046837896,0.005158592
275,pre:tok:in,pre,pre:tok,0.0,1,-0.14556639,-0.1201038,0.13598733
276,pre:tok:in,pre,pre:tok,0.0,1,-0.020075347,-0.019441754,-0.015172385
277,pre:tok:in,pre,pre:tok,0.0,1,0.0113594765,9.817706e-05,-0.0034953442
278,pre:tok:in,pre,pre:tok,0.0,1,0.017460749,-0.06361183,-0.026882976
279,pre:tok:in,pre,pre:tok,0.0,1,-0.03907658,0.0060771233,-0.06031292
257,((((hyp:tok:their OR oth:overlap:overlap75) AND hyp:tag:dt) AND (NOT pre:tok:young)) OR hyp:tok:while),((((hyp OR oth) AND hyp) AND (NOT pre)) OR hyp),((((hyp:tok OR oth:overlap) AND hyp:tag) AND (NOT pre:tok)) OR hyp:tok),0.21328162869607367,6,-0.040946458,0.051988572,0.0029148648
281,pre:tok:in,pre,pre:tok,0.0,1,-0.009757218,-0.021517513,-0.0017034727
282,pre:tok:in,pre,pre:tok,0.0,1,-0.020869039,-0.03439933,0.039400123
265,(((((NOT hyp:tag:in) AND pre:tag:nn) OR oth:overlap:overlap50) AND (NOT hyp:tok:to)) OR hyp:tag:ex),(((((NOT hyp) AND pre) OR oth) AND (NOT hyp)) OR hyp),(((((NOT hyp:tag) AND pre:tag) OR oth:overlap) AND (NOT hyp:tok)) OR hyp:tag),0.3433348960775121,7,0.027869869,-0.0029452231,-0.055176347
270,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) AND (NOT hyp:tag:ex)) AND (NOT hyp:tok:outside)) AND (NOT hyp:tok:outdoors)),(((((NOT oth) AND pre) AND (NOT hyp)) AND (NOT hyp)) AND (NOT hyp)),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tag)) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.316881985774423,9,-0.05994809,-0.01064529,0.030095972
285,pre:tok:in,pre,pre:tok,0.0,1,-0.09824889,-0.01963368,0.06255055
286,pre:tok:in,pre,pre:tok,0.0,1,0.057356223,-0.0052547236,-0.112932794
287,pre:tok:in,pre,pre:tok,0.0,1,-0.23020631,-0.09304557,0.072995104
288,pre:tok:in,pre,pre:tok,0.0,1,-0.08687505,-0.062487923,0.10981145
289,pre:tok:in,pre,pre:tok,0.0,1,-0.019099105,-0.017004687,-0.022361914
290,pre:tok:in,pre,pre:tok,0.0,1,-0.11225578,-0.0467993,0.03351259
291,pre:tok:in,pre,pre:tok,0.0,1,0.017681258,-0.01667235,0.0063416855
292,pre:tok:in,pre,pre:tok,0.0,1,-0.05616341,0.00052766013,-0.058567896
293,pre:tok:in,pre,pre:tok,0.0,1,0.047177356,0.0018140158,-0.04264136
294,pre:tok:in,pre,pre:tok,0.0,1,-0.058997873,0.06295843,-0.11135165
295,pre:tok:in,pre,pre:tok,0.0,1,0.020303907,-0.042713914,-0.04208761
296,pre:tok:in,pre,pre:tok,0.0,1,-0.0041026035,-0.03239704,-0.11696973
297,pre:tok:in,pre,pre:tok,0.0,1,-0.004695355,0.026994286,-0.114458926
298,pre:tok:in,pre,pre:tok,0.0,1,0.043330688,-0.10983226,-0.028986886
299,pre:tok:in,pre,pre:tok,0.0,1,0.01104053,0.00084995653,-5.5537857e-05
300,pre:tok:in,pre,pre:tok,0.0,1,-0.022364594,-0.0016705373,-0.024519714
301,pre:tok:in,pre,pre:tok,0.0,1,0.03804945,0.02473932,-0.039984506
283,(((((NOT pre:tag:cc) AND hyp:tag:in) OR hyp:tag:prp$) AND hyp:tag:.) AND (NOT hyp:tag:ex)),(((((NOT pre) AND hyp) OR hyp) AND hyp) AND (NOT hyp)),(((((NOT pre:tag) AND hyp:tag) OR hyp:tag) AND hyp:tag) AND (NOT hyp:tag)),0.21789522484932777,7,-0.08616844,0.033621132,0.009632114
303,pre:tok:in,pre,pre:tok,0.0,1,0.013864807,-0.033972554,0.018810619
304,pre:tok:in,pre,pre:tok,0.0,1,-0.018272681,0.04221391,-0.059706714
305,pre:tok:in,pre,pre:tok,0.0,1,0.04907726,0.0051228795,0.0013278788
306,pre:tok:in,pre,pre:tok,0.0,1,-0.014996671,-0.0023088118,-0.006956312
307,pre:tok:in,pre,pre:tok,0.0,1,-0.07955517,0.029367004,-0.05080707
308,pre:tok:in,pre,pre:tok,0.0,1,-0.0251077,-0.01297848,-0.013525491
309,pre:tok:in,pre,pre:tok,0.0,1,0.02116709,-0.0076854653,0.00036000696
310,pre:tok:in,pre,pre:tok,0.0,1,0.0073004626,-0.0024335417,-0.015450407
311,pre:tok:in,pre,pre:tok,0.0,1,-0.0787494,0.060296282,-0.071298346
312,pre:tok:in,pre,pre:tok,0.0,1,-0.038438097,-0.0871035,0.020201841
313,pre:tok:in,pre,pre:tok,0.0,1,-0.0061516073,0.00945233,-0.0017304624
314,pre:tok:in,pre,pre:tok,0.0,1,0.042991437,-0.035998553,-0.0065247905
315,pre:tok:in,pre,pre:tok,0.0,1,-0.027715879,0.015308687,-0.012647242
316,pre:tok:in,pre,pre:tok,0.0,1,-0.10850499,-0.06117779,0.087913044
317,pre:tok:in,pre,pre:tok,0.0,1,0.010468309,-0.022590471,-0.050444048
318,pre:tok:in,pre,pre:tok,0.0,1,-0.00568402,0.012416318,-0.008331999
319,pre:tok:in,pre,pre:tok,0.0,1,0.013206493,0.028963985,-0.020110214
320,pre:tok:in,pre,pre:tok,0.0,1,-0.0005258689,-0.07373353,0.020879133
321,pre:tok:in,pre,pre:tok,0.0,1,-0.0056631984,-0.0043634097,0.043296974
322,pre:tok:in,pre,pre:tok,0.0,1,0.0057144384,-0.046056107,-0.056925062
323,pre:tok:in,pre,pre:tok,0.0,1,-0.05739789,-0.036080167,0.0004599119
324,pre:tok:in,pre,pre:tok,0.0,1,-0.03402482,-0.001879017,-0.06093988
325,pre:tok:in,pre,pre:tok,0.0,1,-0.005043803,-0.022443816,0.028051108
326,pre:tok:in,pre,pre:tok,0.0,1,-0.016112812,-0.061893824,0.034877796
327,pre:tok:in,pre,pre:tok,0.0,1,0.01988744,0.009893733,0.02276527
328,pre:tok:in,pre,pre:tok,0.0,1,-0.063381255,-0.057274044,0.059924018
329,pre:tok:in,pre,pre:tok,0.0,1,-0.00022844963,-0.019345606,0.017444149
330,pre:tok:in,pre,pre:tok,0.0,1,-0.0018906741,-0.01591578,-0.003031399
331,pre:tok:in,pre,pre:tok,0.0,1,-0.018313082,0.0071274177,-0.006923942
332,pre:tok:in,pre,pre:tok,0.0,1,0.0008637327,-0.08397317,0.03804259
333,pre:tok:in,pre,pre:tok,0.0,1,0.0023203567,-0.06773969,-0.14236686
334,pre:tok:in,pre,pre:tok,0.0,1,-0.008057741,-0.011678593,-0.06332471
335,pre:tok:in,pre,pre:tok,0.0,1,-0.0062360135,0.021964548,-0.005529698
336,pre:tok:in,pre,pre:tok,0.0,1,-0.06383025,0.09183943,-0.07502555
337,pre:tok:in,pre,pre:tok,0.0,1,0.07844269,-0.124823645,-0.116053134
338,pre:tok:in,pre,pre:tok,0.0,1,0.00221908,-0.021992985,0.017488014
339,pre:tok:in,pre,pre:tok,0.0,1,-0.09825043,0.0878593,-0.04942506
340,pre:tok:in,pre,pre:tok,0.0,1,-0.0015237121,0.03579257,-0.0043053837
341,pre:tok:in,pre,pre:tok,0.0,1,-0.11531263,0.036885172,-0.030810071
342,pre:tok:in,pre,pre:tok,0.0,1,0.017501026,-0.008187532,0.0073144427
343,pre:tok:in,pre,pre:tok,0.0,1,-0.012721769,0.013577793,0.011555942
344,pre:tok:in,pre,pre:tok,0.0,1,0.00088156614,0.025899991,-0.008138531
345,pre:tok:in,pre,pre:tok,0.0,1,-0.008646859,-0.014297067,0.01212266
346,pre:tok:in,pre,pre:tok,0.0,1,-0.046636835,-0.031517994,0.00023957853
347,pre:tok:in,pre,pre:tok,0.0,1,-0.060792044,-0.08991794,-0.01653681
348,pre:tok:in,pre,pre:tok,0.0,1,-0.075390175,0.019031063,0.020022808
349,pre:tok:in,pre,pre:tok,0.0,1,-0.07420015,0.021658357,0.026834212
350,pre:tok:in,pre,pre:tok,0.0,1,-0.0012521191,0.02548543,-0.020040466
351,pre:tok:in,pre,pre:tok,0.0,1,-0.03497493,-0.011718889,0.009512682
352,pre:tok:in,pre,pre:tok,0.0,1,-0.018293308,-0.027592087,0.0049971123
353,pre:tok:in,pre,pre:tok,0.0,1,-0.012360932,0.0012933163,-0.095680736
354,pre:tok:in,pre,pre:tok,0.0,1,0.007606058,-0.0005479575,0.00052117324
355,pre:tok:in,pre,pre:tok,0.0,1,-0.020384546,-0.005223178,0.04574676
356,pre:tok:in,pre,pre:tok,0.0,1,0.03869801,-0.054213103,-0.012896394
357,pre:tok:in,pre,pre:tok,0.0,1,0.016425593,-0.057025213,-0.060165837
358,pre:tok:in,pre,pre:tok,0.0,1,-0.014080335,0.013844736,0.006392464
359,pre:tok:in,pre,pre:tok,0.0,1,-0.01851526,-0.08407825,-0.03425972
360,pre:tok:in,pre,pre:tok,0.0,1,-0.019365422,0.03314586,-0.013951099
361,pre:tok:in,pre,pre:tok,0.0,1,0.00494959,-0.0194865,-0.0027536212
280,(((((NOT hyp:tok:for) AND pre:tag:nn) AND (NOT hyp:tag:vb)) AND (NOT hyp:tag:prp)) OR oth:overlap:overlap75),(((((NOT hyp) AND pre) AND (NOT hyp)) AND (NOT hyp)) OR oth),(((((NOT hyp:tok) AND pre:tag) AND (NOT hyp:tag)) AND (NOT hyp:tag)) OR oth:overlap),0.42244298938812375,8,0.017639183,-0.034171797,0.022389254
363,pre:tok:in,pre,pre:tok,0.0,1,-0.021557504,0.012257776,0.035564914
364,pre:tok:in,pre,pre:tok,0.0,1,0.01345662,-0.026802478,-0.014091045
365,pre:tok:in,pre,pre:tok,0.0,1,-0.036733825,-0.03978047,-0.0074016834
366,pre:tok:in,pre,pre:tok,0.0,1,-0.0014739971,-0.0065523246,0.007329676
367,pre:tok:in,pre,pre:tok,0.0,1,-0.05194816,-0.0740042,0.07500559
368,pre:tok:in,pre,pre:tok,0.0,1,-0.0443564,-0.0062554833,0.07785068
369,pre:tok:in,pre,pre:tok,0.0,1,-0.17249317,0.0120003605,-0.0020644206
370,pre:tok:in,pre,pre:tok,0.0,1,-0.015012102,-0.0013959471,-0.032510255
371,pre:tok:in,pre,pre:tok,0.0,1,-0.0010417204,0.024827499,-0.056740496
372,pre:tok:in,pre,pre:tok,0.0,1,-0.035080377,-0.02549487,0.021345621
373,pre:tok:in,pre,pre:tok,0.0,1,0.08851954,-0.045302074,0.021751031
374,pre:tok:in,pre,pre:tok,0.0,1,-0.017029732,-0.008752043,0.024259947
284,(((((NOT hyp:tag:in) AND pre:tag:.) AND (NOT hyp:tag:jj)) AND (NOT hyp:tok:to)) OR hyp:tok:there),(((((NOT hyp) AND pre) AND (NOT hyp)) AND (NOT hyp)) OR hyp),(((((NOT hyp:tag) AND pre:tag) AND (NOT hyp:tag)) AND (NOT hyp:tok)) OR hyp:tok),0.1885222381635581,8,0.0334192,0.022167513,-0.06520749
376,pre:tok:in,pre,pre:tok,0.0,1,0.0007233795,-0.028777227,-0.044512797
377,pre:tok:in,pre,pre:tok,0.0,1,-0.09723284,-0.059717126,0.094734125
378,pre:tok:in,pre,pre:tok,0.0,1,-0.04267779,-0.071643114,0.047284134
379,pre:tok:in,pre,pre:tok,0.0,1,-0.024195539,-0.0034718902,-0.032489195
380,pre:tok:in,pre,pre:tok,0.0,1,-0.009416558,-0.03922396,0.04674379
381,pre:tok:in,pre,pre:tok,0.0,1,-0.028680257,0.09751536,-0.06368353
302,((((hyp:tok:for OR hyp:tok:to) OR hyp:tag:prp$) OR hyp:tok:after) OR hyp:tok:home),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tag) OR hyp:tok) OR hyp:tok),0.20968291851346743,5,-0.052548073,0.031575426,0.004074775
383,pre:tok:in,pre,pre:tok,0.0,1,0.045275014,-0.018186895,-0.0130546875
384,pre:tok:in,pre,pre:tok,0.0,1,-0.027211204,0.021792147,-0.016088169
385,pre:tok:in,pre,pre:tok,0.0,1,-0.19993636,0.06951972,0.07704001
362,((((hyp:tok:outdoors OR hyp:tok:outside) OR hyp:tok:near) OR hyp:tok:there) OR hyp:tok:moving),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.18246027074749852,5,0.04064967,-0.026677672,-0.062031377
387,pre:tok:in,pre,pre:tok,0.0,1,0.009200748,-0.054898825,-0.152038
388,pre:tok:in,pre,pre:tok,0.0,1,0.015144471,0.009120949,0.035231017
389,pre:tok:in,pre,pre:tok,0.0,1,-0.20930724,-0.015839417,0.10832163
375,((((hyp:tok:nobody OR oth:overlap:overlap75) OR hyp:tok:not) OR hyp:tok:no) OR hyp:tok:present),((((hyp OR oth) OR hyp) OR hyp) OR hyp),((((hyp:tok OR oth:overlap) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.19956896551724138,5,-0.006633075,-0.038335316,0.08920403
391,pre:tok:in,pre,pre:tok,0.0,1,-0.063349485,-0.10318695,0.03742598
382,(((((NOT hyp:tok:there) AND hyp:tag:nn) OR hyp:tag:nnp) AND (NOT hyp:tok:outside)) OR hyp:tag:vb),(((((NOT hyp) AND hyp) OR hyp) AND (NOT hyp)) OR hyp),(((((NOT hyp:tok) AND hyp:tag) OR hyp:tag) AND (NOT hyp:tok)) OR hyp:tag),0.37964730989554085,7,-0.02214479,0.024445377,0.007978243
393,pre:tok:in,pre,pre:tok,0.0,1,-0.017710885,-0.06548913,0.03569102
394,pre:tok:in,pre,pre:tok,0.0,1,0.0013322417,-0.042937588,-0.0033577196
395,pre:tok:in,pre,pre:tok,0.0,1,-0.05726128,0.059899017,-0.077551864
396,pre:tok:in,pre,pre:tok,0.0,1,0.028938977,-0.041258104,-0.0094520245
397,pre:tok:in,pre,pre:tok,0.0,1,-0.009555401,0.0109179,-0.010679306
398,pre:tok:in,pre,pre:tok,0.0,1,-0.0142030455,0.0010340697,-0.009112435
399,pre:tok:in,pre,pre:tok,0.0,1,-0.04566942,0.08255615,-0.08485591
400,pre:tok:in,pre,pre:tok,0.0,1,0.033684324,-0.044545747,-0.060188603
401,pre:tok:in,pre,pre:tok,0.0,1,-0.027468929,-0.010657607,-0.045073006
402,pre:tok:in,pre,pre:tok,0.0,1,0.032343805,0.014500729,0.0037118308
403,pre:tok:in,pre,pre:tok,0.0,1,-0.04561362,-0.0033849536,-0.04311837
404,pre:tok:in,pre,pre:tok,0.0,1,-0.026495308,-0.012340853,-0.02068509
405,pre:tok:in,pre,pre:tok,0.0,1,-0.015913194,0.0039136247,-0.04662489
406,pre:tok:in,pre,pre:tok,0.0,1,-0.028658347,8.930748e-05,-0.009205667
407,pre:tok:in,pre,pre:tok,0.0,1,-0.047923114,-0.1519285,0.012177964
408,pre:tok:in,pre,pre:tok,0.0,1,-0.041346774,0.026654579,-0.05079388
409,pre:tok:in,pre,pre:tok,0.0,1,-0.16100192,0.07044437,-0.0798337
386,((((hyp:tag:in AND oth:overlap:overlap75) OR hyp:tok:not) OR hyp:tok:no) OR hyp:tok:only),((((hyp AND oth) OR hyp) OR hyp) OR hyp),((((hyp:tag AND oth:overlap) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.18742442563482467,5,-0.07539061,0.013552467,0.060133383
